Gene.name,Genes,Gene_B73v3,X,X.1,X.2,X.3,X.4,X.5
AT2G22540,SVP,TF,AT2G22540.2,K-box region and MADS-box transcription factor family protein ,Encodes a nuclear protein that acts as a floral repressor and that functions within the thermosensory pathway.  SVP represses FT expression via direct binding to the vCArG III motif in the FT promoter.,"SHORT VEGETATIVE PHASE (SVP); CONTAINS InterPro DOMAIN/s: Transcription factor, MADS-box (InterPro:IPR002100), Transcription factor, K-box (InterPro:IPR002487); BEST Arabidopsis thaliana protein match is: AGAMOUS-like 24 (TAIR:AT4G24540.1); Has 7281 Blast hits to 7260 proteins in 901 species: Archae - 3; Bacteria - 13; Metazoa - 824; Fungi - 296; Plants - 6010; Viruses - 0; Other Eukaryotes - 135 (source: NCBI BLink).",SVP,SHORT VEGETATIVE PHASE
AT2G22670,IAA8,TF,AT2G22670.4,indoleacetic acid-induced protein 8,IAA8 (IAA8) gene is auxin inducible.,"indoleacetic acid-induced protein 8 (IAA8); CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525), AUX/IAA protein (InterPro:IPR003311); BEST Arabidopsis thaliana protein match is: indole-3-acetic acid inducible 9 (TAIR:AT5G65670.2).",IAA8,indoleacetic acid-induced protein 8
AT2G22740,SUVH6,TF,AT2G22740.2,SU(VAR)3-9 homolog 6,"Encodes a SU(VAR)3-9 homolog, a methyltransferase involved in histone methylation.  The protein was shown to bind to methylated cytosines of CG, CNG and CNN motifs but has a preference for the latter two. This is a member of a subfamily of SET proteins that shares a conserved SRA domain.","SU(VAR)3-9 homolog 6 (SUVH6); FUNCTIONS IN: methyl-CpNpG binding, methyltransferase activity, methyl-CpG binding, methyl-CpNpN binding; INVOLVED IN: histone methylation; LOCATED IN: nucleus; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: SET domain (InterPro:IPR001214), SRA-YDG (InterPro:IPR003105), Pre-SET zinc-binding sub-group (InterPro:IPR003606), Pre-SET domain (InterPro:IPR007728), Post-SET domain (InterPro:IPR003616); BEST Arabidopsis thaliana protein match is: SU(VAR)3-9 homolog 5 (TAIR:AT2G35160.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",SUVH6,SU(VAR)3-9 homolog 6
AT2G22760,AT2G22760,TF,AT2G22760.1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,---,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: nucleus; EXPRESSED IN: root, cultured cell; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT2G22770.1); Has 2563 Blast hits to 2557 proteins in 132 species: Archae - 2; Bacteria - 0; Metazoa - 4; Fungi - 23; Plants - 2520; Viruses - 0; Other Eukaryotes - 14 (source: NCBI BLink).",---,---
AT2G22770,NAI1,TF,AT2G22770.1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,regulates the development of ER bodies. also involves in response to the endophytic fungus Piriformospora indica.,"NAI1; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: nucleus; EXPRESSED IN: 6 plant structures; EXPRESSED DURING: 4 anthesis; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT2G22760.1); Has 3457 Blast hits to 3451 proteins in 191 species: Archae - 0; Bacteria - 0; Metazoa - 118; Fungi - 69; Plants - 3252; Viruses - 0; Other Eukaryotes - 18 (source: NCBI BLink).",NAI1,---
AT2G22800,HAT9,TF,AT2G22800.1,Homeobox-leucine zipper protein family,Encodes homeobox protein HAT9.,"HAT9; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription, DNA-dependent, regulation of transcription; LOCATED IN: nucleus; EXPRESSED IN: 13 plant structures; EXPRESSED DURING: LP.04 four leaves visible, 4 anthesis, petal differentiation and expansion stage, E expanded cotyledon stage; CONTAINS InterPro DOMAIN/s: Homeobox, conserved site (InterPro:IPR017970), Homeobox (InterPro:IPR001356), Homeodomain-like (InterPro:IPR009057), Leucine zipper, homeobox-associated (InterPro:IPR003106), Homeodomain-related (InterPro:IPR012287); BEST Arabidopsis thaliana protein match is: Homeobox-leucine zipper protein family (TAIR:AT4G37790.1); Has 6755 Blast hits to 6732 proteins in 464 species: Archae - 0; Bacteria - 0; Metazoa - 4333; Fungi - 266; Plants - 2037; Viruses - 7; Other Eukaryotes - 112 (source: NCBI BLink).",HAT9,---
AT2G22840,GRF1,TF,AT2G22840.1,growth-regulating factor 1,"Growth regulating factor encoding transcription activator. One of the nine members of a GRF gene family, containing nuclear targeting domain. Mutants result in smaller leaves indicating the role of the gene in leaf development. Expressed in root, shoot and flower","growth-regulating factor 1 (GRF1); CONTAINS InterPro DOMAIN/s: Glutamine-Leucine-Glutamine, QLQ (InterPro:IPR014978), WRC (InterPro:IPR014977); BEST Arabidopsis thaliana protein match is: growth-regulating factor 2 (TAIR:AT4G37740.1); Has 714 Blast hits to 669 proteins in 68 species: Archae - 0; Bacteria - 24; Metazoa - 65; Fungi - 20; Plants - 548; Viruses - 4; Other Eukaryotes - 53 (source: NCBI BLink).",GRF1,growth-regulating factor 1
AT2G23290,MYB70,TF,AT2G23290.1,myb domain protein 70,Member of the R2R3 factor gene family.,"myb domain protein 70 (MYB70); CONTAINS InterPro DOMAIN/s: SANT, DNA-binding (InterPro:IPR001005), Homeodomain-like (InterPro:IPR009057), Myb, DNA-binding (InterPro:IPR014778), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930), Homeodomain-related (InterPro:IPR012287), Myb transcription factor (InterPro:IPR015495); BEST Arabidopsis thaliana protein match is: myb domain protein 73 (TAIR:AT4G37260.1); Has 8736 Blast hits to 7850 proteins in 479 species: Archae - 0; Bacteria - 0; Metazoa - 756; Fungi - 600; Plants - 5377; Viruses - 3; Other Eukaryotes - 2000 (source: NCBI BLink).",MYB70,myb domain protein 70
AT2G23320,WRKY15,TF,AT2G23320.2,WRKY DNA-binding protein 15,Encodes WRKY DNA-binding protein 15 (WRKY15).,"WRKY DNA-binding protein 15 (WRKY15); CONTAINS InterPro DOMAIN/s: DNA-binding WRKY (InterPro:IPR003657), Transcription factor, WRKY, Zn-cluster (InterPro:IPR018872); BEST Arabidopsis thaliana protein match is: WRKY DNA-binding protein 11 (TAIR:AT4G31550.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",WRKY15,WRKY DNA-binding protein 15
AT2G23340,DEAR3,TF,AT2G23340.1,DREB and EAR motif protein 3,"encodes a member of the DREB subfamily A-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 16 members in this subfamily including RAP2.1, RAP2.9 and RAP2.10.","DREB and EAR motif protein 3 (DEAR3); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription, DNA-dependent; LOCATED IN: nucleus; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: DNA-binding, integrase-type (InterPro:IPR016177), Pathogenesis-related transcriptional factor/ERF, DNA-binding (InterPro:IPR001471); BEST Arabidopsis thaliana protein match is: related to AP2 10 (TAIR:AT4G36900.1); Has 5516 Blast hits to 5457 proteins in 238 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 5509; Viruses - 0; Other Eukaryotes - 7 (source: NCBI BLink).",DEAR3,DREB and EAR motif protein 3
AT2G23380,SET1,TF,AT2G23380.1,SET domain-containing protein,"Similar to the product of the Polycomb-group gene Enhancer of zeste. Required for stable repression of AG and AP3. Putative role in cell fate determination.  Involved in the control of leaf morphogenesis. mutants exhibit curled, involute leaves. AGAMOUS and APETALA3 are ectopically expressed in the mutant.","CURLY LEAF (CLF); FUNCTIONS IN: protein binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: in 7 processes; LOCATED IN: chloroplast; EXPRESSED IN: 15 plant structures; EXPRESSED DURING: 7 growth stages; CONTAINS InterPro DOMAIN/s: SET domain (InterPro:IPR001214); BEST Arabidopsis thaliana protein match is: SET domain-containing protein (TAIR:AT4G02020.1); Has 5951 Blast hits to 5285 proteins in 534 species: Archae - 0; Bacteria - 530; Metazoa - 2584; Fungi - 730; Plants - 989; Viruses - 16; Other Eukaryotes - 1102 (source: NCBI BLink).",SET1,SETDOMAIN 1
AT2G23760,SAW2,TF,AT2G23760.3,BEL1-like homeodomain 4,"Encodes a member of the BEL family of homeodomain proteins. Plants doubly mutant for saw1/saw2 (blh2/blh4) have serrated leaves. BP is expressed in the serrated leaves, therefore saw2 and saw1 may act redundantly to repress BP in leaves.","BEL1-like homeodomain 4 (BLH4); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: leaf morphogenesis; LOCATED IN: nucleus; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: Homeobox (InterPro:IPR001356), Homeodomain-like (InterPro:IPR009057), Homeobox KN domain (InterPro:IPR008422), POX (InterPro:IPR006563), Homeodomain-related (InterPro:IPR012287); BEST Arabidopsis thaliana protein match is: BEL1-like homeodomain 2 (TAIR:AT4G36870.2); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",SAW2,SAWTOOTH 2
AT2G24260,LRL1,TF,AT2G24260.1,LJRHL1-like 1,"Encodes a basic helix-loop-helix (bHLH) protein that regulates root hair development.  One of the three Arabidopsis homologs of the Lotus japonicus ROOTHAIRLESS1 (LjRHL1) gene: At2g24260 (AtLRL1), At4g30980 (AtLRL2), and At5g58010 (AtLRL3).","LJRHL1-like 1 (LRL1); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: root hair cell development, regulation of transcription; LOCATED IN: nucleus; EXPRESSED IN: 8 plant structures; EXPRESSED DURING: 4 anthesis, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: LJRHL1-like 2 (TAIR:AT4G30980.1); Has 3384 Blast hits to 3378 proteins in 167 species: Archae - 0; Bacteria - 0; Metazoa - 150; Fungi - 13; Plants - 3219; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).",LRL1,LJRHL1-like 1
AT2G24500,FZF,TF,AT2G24500.1,Zinc finger protein 622,Encodes a C2H2 zinc finger protein FZF.,"FZF; FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: intracellular; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, C2H2-like (InterPro:IPR015880), Zinc finger, C2H2-type (InterPro:IPR007087), Zinc finger, double-stranded RNA binding (InterPro:IPR022755); BEST Arabidopsis thaliana protein match is: Zinc finger protein 622 (TAIR:AT4G31420.1); Has 877 Blast hits to 864 proteins in 218 species: Archae - 0; Bacteria - 0; Metazoa - 359; Fungi - 284; Plants - 90; Viruses - 2; Other Eukaryotes - 142 (source: NCBI BLink).",FZF,---
AT2G24570,WRKY17,TF,AT2G24570.1,WRKY DNA-binding protein 17,member of WRKY Transcription Factor; Group II-d; negative regulator of basal resistance to Pseudomonas syringae.,"WRKY DNA-binding protein 17 (WRKY17); CONTAINS InterPro DOMAIN/s: DNA-binding WRKY (InterPro:IPR003657), Transcription factor, WRKY, Zn-cluster (InterPro:IPR018872); BEST Arabidopsis thaliana protein match is: WRKY DNA-binding protein 11 (TAIR:AT4G31550.1); Has 3398 Blast hits to 2942 proteins in 193 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 4; Plants - 3369; Viruses - 0; Other Eukaryotes - 23 (source: NCBI BLink).",WRKY17,WRKY DNA-binding protein 17
AT2G24645,AT2G24645,TF,AT2G24645.1,Transcriptional factor B3 family protein,---,"Transcriptional factor B3 family protein; FUNCTIONS IN: DNA binding; INVOLVED IN: regulation of transcription, DNA-dependent; CONTAINS InterPro DOMAIN/s: Transcriptional factor B3 (InterPro:IPR003340); BEST Arabidopsis thaliana protein match is: Transcriptional factor B3 family protein (TAIR:AT4G00260.1).",---,---
AT2G24650,AT2G24650,TF,AT2G24650.1,DNA binding;DNA binding;sequence-specific DNA binding transcription factors,---,"DNA binding;DNA binding;sequence-specific DNA binding transcription factors; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription, DNA-dependent; CONTAINS InterPro DOMAIN/s: Transcriptional factor B3 (InterPro:IPR003340); BEST Arabidopsis thaliana protein match is: transcriptional factor B3 family protein (TAIR:AT2G24680.1); Has 1264 Blast hits to 283 proteins in 17 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 1262; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",---,---
AT2G24680,AT2G24680,TF,AT2G24680.2,transcriptional factor B3 family protein,---,"transcriptional factor B3 family protein; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription, DNA-dependent; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Transcriptional factor B3 (InterPro:IPR003340); BEST Arabidopsis thaliana protein match is: DNA binding;DNA binding;sequence-specific DNA binding transcription factors (TAIR:AT2G24650.1).",---,---
AT2G24690,AT2G24690,TF,AT2G24690.1,Transcriptional factor B3 family protein,---,"Transcriptional factor B3 family protein; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription, DNA-dependent; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Transcriptional factor B3 (InterPro:IPR003340); BEST Arabidopsis thaliana protein match is: DNA binding;DNA binding;sequence-specific DNA binding transcription factors (TAIR:AT2G24650.1); Has 627 Blast hits to 195 proteins in 19 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 10; Plants - 615; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).",---,---
AT2G24790,COL3,TF,AT2G24790.2,CONSTANS-like 3,Positive  regulator of photomorphogenesis that acts downstream of COP1 but can promote lateral root development independently  of COP1 and also function as a daylength-sensitive regulator of shoot branching.,"CONSTANS-like 3 (COL3); CONTAINS InterPro DOMAIN/s: Zinc finger, B-box (InterPro:IPR000315); BEST Arabidopsis thaliana protein match is: CONSTANS-like 4 (TAIR:AT5G24930.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",COL3,CONSTANS-like 3
AT2G24830,AT2G24830,TF,AT2G24830.1,zinc finger (CCCH-type) family protein / D111/G-patch domain-containing protein,---,"zinc finger (CCCH-type) family protein / D111/G-patch domain-containing protein; FUNCTIONS IN: zinc ion binding, nucleic acid binding; INVOLVED IN: biological_process unknown; LOCATED IN: intracellular; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, CCCH-type (InterPro:IPR000571), D111/G-patch (InterPro:IPR000467); Has 706 Blast hits to 687 proteins in 197 species: Archae - 0; Bacteria - 4; Metazoa - 400; Fungi - 113; Plants - 123; Viruses - 0; Other Eukaryotes - 66 (source: NCBI BLink).",---,---
AT2G25000,WRKY60,TF,AT2G25000.1,WRKY DNA-binding protein 60,"Pathogen-induced transcription factor. Forms protein complexes with itself and with WRKY40. Coexpression with WRKY18 or WRKY40 made plants more susceptible to both  P. syringae and B. cinerea. WRKY18, WRKY40, and WRKY60 have partially redundant roles in response to the hemibiotrophic bacterial pathogen Pseudomonas syringae and the necrotrophic fungal pathogen Botrytis cinerea, with WRKY18 playing a more important role than the other two.",WRKY DNA-binding protein 60 (WRKY60); CONTAINS InterPro DOMAIN/s: DNA-binding WRKY (InterPro:IPR003657); BEST Arabidopsis thaliana protein match is: WRKY DNA-binding protein 18 (TAIR:AT4G31800.1); Has 3263 Blast hits to 2826 proteins in 197 species: Archae - 14; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 3232; Viruses - 0; Other Eukaryotes - 17 (source: NCBI BLink).,WRKY60,WRKY DNA-binding protein 60
AT2G25170,SSL2,TF,AT2G25170.1,chromatin remodeling factor CHD3 (PICKLE),Encodes a SWI/SWF nuclear-localized chromatin remodeling factor of the CHD3 group. Involved in post-germination repression of embryonic development. Acts with GA to establish repression of embryonic genes upon germination. Protein preferentially accumulates in differentiating tissues. Loss of function alleles are associated with expression of embryonic traits in adult plants and derepression of embryonic genes such as PHEROS1.  Is an extragenic suppressor of slr2 (SSL2).  Mutations in PKL (SSL2) restores lateral root formation in the slr2 mutant slr-1.  It was proposed that PKL/SSL2-mediated chromatin remodeling negatively regulates auxin-mediated LR formation in Arabidopsis.,"PICKLE (PKL); CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1087 (InterPro:IPR009463), Zinc finger, RING-type (InterPro:IPR001841), Zinc finger, PHD-type, conserved site (InterPro:IPR019786), Zinc finger, PHD-type (InterPro:IPR001965), Protein of unknown function DUF1086 (InterPro:IPR009462), Chromo domain (InterPro:IPR000953), SNF2-related (InterPro:IPR000330), DEAD-like helicase, N-terminal (InterPro:IPR014001), Chromo domain-like (InterPro:IPR016197), DNA/RNA helicase, C-terminal (InterPro:IPR001650), Zinc finger, FYVE/PHD-type (InterPro:IPR011011), Helicase, superfamily 1/2, ATP-binding domain (InterPro:IPR014021), Zinc finger, PHD-finger (InterPro:IPR019787); BEST Arabidopsis thaliana protein match is: chromatin remodeling factor, putative (TAIR:AT4G31900.1); Has 20234 Blast hits to 17178 proteins in 1958 species: Archae - 161; Bacteria - 5176; Metazoa - 5098; Fungi - 4334; Plants - 1876; Viruses - 134; Other Eukaryotes - 3455 (source: NCBI BLink).",SSL2,SUPPRESSOR OF SLR 2
AT2G25180,RR12,TF,AT2G25180.1,response regulator 12,Encodes an Arabidopsis response regulator (ARR) protein that acts in concert with other type-B ARRs in the cytokinin signaling pathway.,"response regulator 12 (RR12); CONTAINS InterPro DOMAIN/s: Response regulator, plant B-type (InterPro:IPR017053), Myb-like DNA-binding domain, SHAQKYF class (InterPro:IPR006447), CheY-like (InterPro:IPR011006), Myb, DNA-binding (InterPro:IPR014778), Homeodomain-like (InterPro:IPR009057), Signal transduction response regulator, receiver domain (InterPro:IPR001789), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930), Homeodomain-related (InterPro:IPR012287); BEST Arabidopsis thaliana protein match is: response regulator 10 (TAIR:AT4G31920.1); Has 111867 Blast hits to 110627 proteins in 3082 species: Archae - 684; Bacteria - 99498; Metazoa - 49; Fungi - 566; Plants - 2899; Viruses - 3; Other Eukaryotes - 8168 (source: NCBI BLink).",RR12,response regulator 12
AT2G25650,AT2G25650,TF,AT2G25650.1,DNA-binding storekeeper protein-related transcriptional regulator,---,DNA-binding storekeeper protein-related transcriptional regulator; FUNCTIONS IN: transcription regulator activity; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 10 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF573 (InterPro:IPR007592); BEST Arabidopsis thaliana protein match is: DNA-binding storekeeper protein-related transcriptional regulator (TAIR:AT4G00270.1); Has 3870 Blast hits to 2696 proteins in 325 species: Archae - 4; Bacteria - 248; Metazoa - 996; Fungi - 327; Plants - 391; Viruses - 98; Other Eukaryotes - 1806 (source: NCBI BLink).,---,---
AT2G25820,ESE2,TF,AT2G25820.1,Integrase-type DNA-binding superfamily protein,encodes a member of the DREB subfamily A-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 17 members in this subfamily including TINY.,"Integrase-type DNA-binding superfamily protein; FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription, DNA-dependent; EXPRESSED IN: sepal, root, seed, stamen; CONTAINS InterPro DOMAIN/s: DNA-binding, integrase-type (InterPro:IPR016177), Pathogenesis-related transcriptional factor/ERF, DNA-binding (InterPro:IPR001471); BEST Arabidopsis thaliana protein match is: Integrase-type DNA-binding superfamily protein (TAIR:AT4G32800.1); Has 5828 Blast hits to 5681 proteins in 265 species: Archae - 0; Bacteria - 5; Metazoa - 20; Fungi - 4; Plants - 5778; Viruses - 0; Other Eukaryotes - 21 (source: NCBI BLink).",ESE2,ethylene and salt inducible 2
AT2G25900,ATTZF1,TF,AT2G25900.2,Zinc finger C-x8-C-x5-C-x3-H type family protein,"putative Cys3His zinc finger protein (ATCTH) mRNA, complete","ATCTH; CONTAINS InterPro DOMAIN/s: Zinc finger, CCCH-type (InterPro:IPR000571); BEST Arabidopsis thaliana protein match is: CCCH-type zinc finger family protein (TAIR:AT2G19810.1).",ATTZF1,A. THALIANA TANDEM ZINC FINGER PROTEIN 1
AT2G26150,HSFA2,TF,AT2G26150.2,heat shock transcription factor A2,member of Heat Stress Transcription Factor (Hsf) family. Involved in response to misfolded protein accumulation in the cytosol. Regulated by alternative splicing and non-sense-mediated decay.,"heat shock transcription factor A2 (HSFA2); FUNCTIONS IN: DNA binding, transcription activator activity, sequence-specific DNA binding transcription factor activity; INVOLVED IN: in 7 processes; LOCATED IN: endomembrane system, nucleus; EXPRESSED IN: 8 plant structures; EXPRESSED DURING: 4 anthesis, C globular stage, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Winged helix-turn-helix transcription repressor DNA-binding (InterPro:IPR011991), Heat shock factor (HSF)-type, DNA-binding (InterPro:IPR000232); BEST Arabidopsis thaliana protein match is: heat shock transcription factor A1D (TAIR:AT1G32330.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",HSFA2,heat shock transcription factor A2
AT2G26580,YAB5,TF,AT2G26580.2,plant-specific transcription factor YABBY family protein,---,"YABBY5 (YAB5); CONTAINS InterPro DOMAIN/s: High mobility group, superfamily (InterPro:IPR009071), YABBY protein (InterPro:IPR006780); BEST Arabidopsis thaliana protein match is: Plant-specific transcription factor YABBY family protein (TAIR:AT1G08465.1); Has 458 Blast hits to 449 proteins in 126 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 4; Plants - 444; Viruses - 0; Other Eukaryotes - 10 (source: NCBI BLink).",YAB5,YABBY5
AT2G27050,EIL1,TF,AT2G27050.1,ETHYLENE-INSENSITIVE3-like 1,ethylene-insensitive3-like1 (EIL1),"ETHYLENE-INSENSITIVE3-like 1 (EIL1); FUNCTIONS IN: transcription regulator activity, sequence-specific DNA binding transcription factor activity; INVOLVED IN: ethylene mediated signaling pathway, response to ethylene stimulus, defense response to bacterium; LOCATED IN: nucleus; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Ethylene insensitive 3 (InterPro:IPR006957); BEST Arabidopsis thaliana protein match is: Ethylene insensitive 3 family protein (TAIR:AT3G20770.1); Has 336 Blast hits to 333 proteins in 48 species: Archae - 0; Bacteria - 2; Metazoa - 1; Fungi - 0; Plants - 332; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).",EIL1,ETHYLENE-INSENSITIVE3-like 1
AT2G27110,FRS3,TF,AT2G27110.3,FAR1-related sequence 3,---,"FAR1-related sequence 3 (FRS3); FUNCTIONS IN: zinc ion binding; INVOLVED IN: response to red or far red light; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, PMZ-type (InterPro:IPR006564), Zinc finger, SWIM-type (InterPro:IPR007527), MULE transposase, conserved domain (InterPro:IPR018289); BEST Arabidopsis thaliana protein match is: FAR1-related sequence 5 (TAIR:AT4G38180.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",FRS3,FAR1-related sequence 3
AT2G27300,NTL8,TF,AT2G27300.1,NTM1-like 8,---,NTM1-like 8 (NTL8); CONTAINS InterPro DOMAIN/s: No apical meristem (NAM) protein (InterPro:IPR003441); BEST Arabidopsis thaliana protein match is: NAC domain containing protein 60 (TAIR:AT3G44290.1); Has 2835 Blast hits to 2829 proteins in 72 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 2835; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,NTL8,NTM1-like 8
AT2G27470,NF-YB11,TF,AT2G27470.1,"nuclear factor Y, subunit B11",---,"nuclear factor Y, subunit B11 (NF-YB11); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: intracellular; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Transcription factor CBF/NF-Y/archaeal histone (InterPro:IPR003958), Histone-fold (InterPro:IPR009072); BEST Arabidopsis thaliana protein match is: nuclear factor Y, subunit B1 (TAIR:AT2G38880.7); Has 148542 Blast hits to 60498 proteins in 2540 species: Archae - 708; Bacteria - 15552; Metazoa - 38569; Fungi - 16830; Plants - 7103; Viruses - 1761; Other Eukaryotes - 68019 (source: NCBI BLink).",NF-YB11,"nuclear factor Y, subunit B11"
AT2G27990,PNF,TF,AT2G27990.1,BEL1-like homeodomain 8,Encodes a BEL1-like homeobox gene that functions together with PNY in meristem maintenance by regulating the allocation process during vegetative and reproductive development. Both gene products are required for the competence of the SAM to respond properly to floral inductive signals.,"BEL1-like homeodomain 8 (BLH8); CONTAINS InterPro DOMAIN/s: Homeobox (InterPro:IPR001356), Homeodomain-like (InterPro:IPR009057), POX (InterPro:IPR006563), Homeodomain-related (InterPro:IPR012287); BEST Arabidopsis thaliana protein match is: POX (plant homeobox) family protein (TAIR:AT5G02030.1); Has 5076 Blast hits to 5073 proteins in 336 species: Archae - 0; Bacteria - 0; Metazoa - 2093; Fungi - 319; Plants - 2481; Viruses - 0; Other Eukaryotes - 183 (source: NCBI BLink).",PNF,POUND-FOOLISH
